Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
BMW X6 M,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No,586
BMW X6 M50i,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,22,18,4,No,486
BMW X7 M60i xDrive,4.4,8,SemiAuto-8,4WD,Gasoline,standard SUV,5,16,21,18,4,No,481
BMW Z4,2,4,SemiAuto-8,2WD,Gasoline,small car,7,25,33,28,6,No,312
BUGATTI Chiron Pur Sport,8,16,AMS-7,4WD,Gasoline,small car,1,8,11,9,1,No,979
BUICK Enclave,3.6,6,Auto-9,2WD,Gasoline,standard SUV,6,18,26,21,4,No,424
BUICK Enclave,3.6,6,Auto-9,4WD,Gasoline,standard SUV,6,17,25,20,4,No,448
BUICK Envision,2,4,SemiAuto-9,2WD,Gasoline,small SUV,7,23,31,26,5,No,337
BUICK Envision,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,22,29,25,5,No,355
CADILLAC CT4,2,4,SemiAuto-8,2WD,Gasoline,small car,7,23,34,27,5,No,331
CADILLAC CT4,2,4,SemiAuto-8,4WD,Gasoline,small car,7,22,31,26,5,No,348
CADILLAC CT4,2.7,4,SemiAuto-10,2WD,Gasoline,small car,6,21,31,25,5,No,356
CADILLAC CT4,2.7,4,SemiAuto-10,4WD,Gasoline,small car,6,21,29,24,5,No,371
CADILLAC CT5,2,4,SemiAuto-10,2WD,Gasoline,midsize car,7,23,33,27,5,No,333
CADILLAC CT5,2,4,SemiAuto-10,4WD,Gasoline,midsize car,7,22,30,25,5,No,358
CADILLAC CT5,3,6,SemiAuto-10,2WD,Gasoline,midsize car,5,19,27,22,5,No,405
CADILLAC CT5,3,6,SemiAuto-10,4WD,Gasoline,midsize car,5,18,26,21,4,No,419
CADILLAC Escalade,3,6,Auto-10,2WD,Diesel,standard SUV,3,21,27,23,4,No,442
CADILLAC Escalade,3,6,Auto-10,4WD,Diesel,standard SUV,3,20,26,22,4,No,462
CADILLAC Escalade,6.2,8,Auto-10,2WD,Gasoline,standard SUV,6,14,19,16,3,No,556
CADILLAC Escalade,6.2,8,Auto-10,4WD,Gasoline,standard SUV,6,14,18,16,3,No,564
CADILLAC XT4,2,4,SemiAuto-9,2WD,Gasoline,small SUV,7,23,30,26,5,No,341
CADILLAC XT4,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,22,29,24,5,No,370
CADILLAC XT5,2,4,SemiAuto-9,2WD,Gasoline,small SUV,7,22,29,24,5,No,370
CADILLAC XT5,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,21,27,23,5,No,386
CADILLAC XT5,3.6,6,SemiAuto-9,2WD,Gasoline,small SUV,6,19,26,21,4,No,419
CADILLAC XT5,3.6,6,SemiAuto-9,4WD,Gasoline,small SUV,6,18,25,21,4,No,426
CADILLAC XT5 Limo,2,4,SemiAuto-9,2WD,Gasoline,special purpose,6,20,23,21,4,No,425
CADILLAC XT5 Limo,2,4,SemiAuto-9,4WD,Gasoline,special purpose,6,20,23,21,4,No,425
CADILLAC XT6,2,4,SemiAuto-9,2WD,Gasoline,small SUV,7,21,27,23,5,No,386
CADILLAC XT6,2,4,SemiAuto-9,4WD,Gasoline,small SUV,7,21,26,23,5,No,386
CADILLAC XT6,3.6,6,SemiAuto-9,2WD,Gasoline,small SUV,6,19,26,21,4,No,419
CADILLAC XT6,3.6,6,SemiAuto-9,4WD,Gasoline,small SUV,6,18,25,21,4,No,433
CHEVROLET Blazer,2,4,Auto-9,2WD,Gasoline,small SUV,7,22,29,25,5,No,365
CHEVROLET Blazer,2,4,Auto-9,4WD,Gasoline,small SUV,7,22,27,24,5,No,368
CHEVROLET Blazer,3.6,6,Auto-9,2WD,Gasoline,small SUV,6,19,27,22,5,No,404
CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,small SUV,6,19,26,21,4,No,417
CHEVROLET Camaro,2,4,Man-6,2WD,Gasoline,small car,5,19,28,22,5,No,401
CHEVROLET Camaro,2,4,SemiAuto-8,2WD,Gasoline,small car,5,22,30,25,5,No,360
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,small car,6,16,26,20,4,No,453
CHEVROLET Camaro,3.6,6,SemiAuto-10,2WD,Gasoline,small car,6,18,29,22,5,No,407
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1,14,20,16,3,No,559
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,small car,1,16,24,19,4,No,477
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,small car,1,13,21,16,3,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,small car,1,16,26,20,4,No,453
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,pickup,7,18,23,20,4,No,446
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,pickup,7,20,25,22,5,No,406
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,pickup,7,17,19,18,4,No,494
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,pickup,7,17,21,19,4,No,467
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,pickup,7,19,23,21,4,No,427
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,small car,5,16,24,19,4,No,475
