Model,EngineDisplacement,Cylinders,Trans,Drive,Fuel,VehClass,AirPollutionScore,CityMPG,HwyMPG,CmbMPG,Greenhouse Gas Score,SmartWay,CombCO2
NISSAN GT-R,3.8,6,AMS-6,4WD,Gasoline,small car,3,16,22,18,4,No,493
NISSAN Kicks,1.6,4,CVT,2WD,Gasoline,midsize car,7,31,36,33,6,No,269
NISSAN Maxima,3.5,6,SCV-7,2WD,Gasoline,midsize car,3,20,30,24,5,No,371
NISSAN Murano,3.5,6,SCV-7,2WD,Gasoline,station wagon,5,20,28,23,5,No,387
NISSAN Murano,3.5,6,SCV-7,4WD,Gasoline,station wagon,5,20,28,23,5,No,391
NISSAN Pathfinder,3.5,6,SemiAuto-9,2WD,Gasoline,small SUV,5,20,27,23,5,No,390
NISSAN Pathfinder,3.5,6,SemiAuto-9,4WD,Gasoline,small SUV,5,21,27,23,5,No,379
NISSAN Rogue,1.5,3,SCV-8,2WD,Gasoline,small SUV,6,30,37,33,6,No,271
NISSAN Rogue,1.5,3,SCV-8,2WD,Gasoline,small SUV,6,30,37,33,6,No,269
NISSAN Rogue,1.5,3,SCV-8,4WD,Gasoline,small SUV,6,28,35,31,6,No,287
NISSAN Rogue,1.5,3,SCV-8,4WD,Gasoline,small SUV,6,28,35,31,6,No,287
NISSAN Sentra,2,4,CVT,2WD,Gasoline,midsize car,7,29,39,33,6,No,268
NISSAN Sentra SR,2,4,CVT,2WD,Gasoline,midsize car,7,28,37,32,6,No,283
NISSAN Titan,5.6,8,SemiAuto-9,2WD,Gasoline,pickup,5,16,21,18,4,No,503
NISSAN Titan,5.6,8,SemiAuto-9,4WD,Gasoline,pickup,5,15,21,18,4,No,505
NISSAN Versa,1.6,4,CVT,2WD,Gasoline,small car,7,32,40,35,7,Yes,254
NISSAN Versa,1.6,4,Man-5,2WD,Gasoline,small car,7,27,35,30,6,No,296
NISSAN Z,3,6,Man-6,2WD,Gasoline,small car,5,18,24,20,4,No,435
NISSAN Z,3,6,SemiAuto-9,2WD,Gasoline,small car,5,19,28,22,5,No,405
PORSCHE 718 Spyder,3.7,6,AMS-7,2WD,Gasoline,small car,5,18,24,20,4,No,436
PORSCHE 718 Spyder,3.7,6,Man-6,2WD,Gasoline,small car,5,17,23,19,4,No,462
PORSCHE 911 Carrera,3,6,AMS-8,2WD,Gasoline,small car,5,18,24,20,4,No,443
PORSCHE Cayenne,3,6,SemiAuto-8,4WD,Gasoline,standard SUV,5,17,22,19,4,No,466
PORSCHE Macan,2,4,AMS-7,4WD,Gasoline,small SUV,5,19,25,21,4,No,424
RAM 1500,3,6,Auto-8,4WD,Diesel,pickup,1,21,29,24,4,No,418
RAM 1500,3.6,6,Auto-8,2WD,Gasoline,pickup,7,20,25,22,5,No,407
RAM 1500,3.6,6,Auto-8,4WD,Gasoline,pickup,7,19,24,21,4,No,417
RAM 1500,5.7,8,Auto-8,2WD,Gasoline,pickup,5,15,22,17,3,No,514
RAM 1500,5.7,8,Auto-8,2WD,Gasoline,pickup,5,18,23,20,4,No,443
RAM 1500,5.7,8,Auto-8,4WD,Gasoline,pickup,5,15,21,17,3,No,523
RAM 1500,5.7,8,Auto-8,4WD,Gasoline,pickup,5,17,22,19,4,No,457
ROLLS-ROYCE Cullinan,6.7,12,SemiAuto-8,4WD,Gasoline,station wagon,3,12,19,14,2,No,626
ROLLS-ROYCE Ghost,6.7,12,SemiAuto-8,4WD,Gasoline,large car,3,12,19,14,2,No,624
SUBARU Ascent,2.4,4,SCV-8,4WD,Gasoline,standard SUV,5,20,26,22,5,No,398
SUBARU BRZ,2.4,4,Man-6,2WD,Gasoline,small car,3,20,27,22,5,No,398
SUBARU BRZ,2.4,4,SemiAuto-6,2WD,Gasoline,small car,3,21,30,25,5,No,362
SUBARU Crosstrek,2,4,Man-6,4WD,Gasoline,small SUV,7,22,29,25,5,No,355
SUBARU Crosstrek,2,4,SCV-8,4WD,Gasoline,small SUV,7,28,33,30,6,No,297
SUBARU Crosstrek,2.5,4,SCV-8,4WD,Gasoline,small SUV,7,27,34,29,6,No,303
SUBARU Forester,2.5,4,SCV-7,4WD,Gasoline,small SUV,7,26,33,29,6,No,310
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,midsize car,7,23,31,26,5,No,337
SUBARU Impreza,2,4,Man-5,4WD,Gasoline,station wagon,7,24,31,26,5,No,335
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,midsize car,7,28,36,32,6,No,280
SUBARU Impreza,2,4,SCV-7,4WD,Gasoline,station wagon,7,28,36,31,6,No,285
SUBARU Legacy,2.4,4,SCV-8,4WD,Gasoline,large car,6,23,31,26,5,No,337
SUBARU Legacy,2.5,4,SCV-8,4WD,Gasoline,large car,7,27,35,30,6,No,295
SUBARU Outback AWD,2.4,4,SCV-8,4WD,Gasoline,small SUV,6,22,29,25,5,No,356
SUBARU Outback AWD,2.5,4,SCV-8,4WD,Gasoline,small SUV,7,26,32,28,6,No,314
SUBARU Outback Wilderness,2.4,4,SCV-8,4WD,Gasoline,small SUV,6,21,26,23,5,No,378
SUBARU WRX,2.4,4,Man-6,4WD,Gasoline,midsize car,3,19,26,22,5,No,407
SUBARU WRX,2.4,4,SCV-8,4WD,Gasoline,midsize car,3,19,25,21,4,No,419
TOYOTA 4Runner,4,6,SemiAuto-5,2WD,Gasoline,standard SUV,5,16,19,17,3,No,503
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,standard SUV,5,16,19,17,3,No,515
TOYOTA 4Runner,4,6,SemiAuto-5,4WD,Gasoline,standard SUV,5,16,19,17,3,No,519
TOYOTA Camry,3.5,6,SemiAuto-8,2WD,Gasoline,midsize car,5,22,33,26,5,No,338
TOYOTA Corolla,2,4,SCV-10,2WD,Gasoline,small car,7,31,40,34,7,Yes,258
TOYOTA Corolla,2,4,SCV-10,2WD,Gasoline,small car,7,32,41,35,7,Yes,254
TOYOTA GR Corolla,1.6,3,Man-6,4WD,Gasoline,small car,5,21,28,24,5,No,368
TOYOTA GR86,2.4,4,Man-6,2WD,Gasoline,small car,3,20,27,22,5,No,397
TOYOTA GR86,2.4,4,SemiAuto-6,2WD,Gasoline,small car,3,21,31,25,5,No,360
TOYOTA Highlander,2.4,4,SemiAuto-8,2WD,Gasoline,small SUV,7,21,28,24,5,No,370
TOYOTA Highlander,2.4,4,SemiAuto-8,2WD,Gasoline,small SUV,7,22,29,25,5,No,359
TOYOTA Highlander,2.4,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,28,24,5,No,371
TOYOTA Prius,2,4,CVT,2WD,Gasoline,midsize car,7,57,56,57,9,Yes,155
TOYOTA Prius,2,4,CVT,4WD,Gasoline,midsize car,7,53,54,54,9,Yes,163
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,27,34,30,6,No,292
TOYOTA RAV4,2.5,4,SemiAuto-8,2WD,Gasoline,small SUV,7,27,35,30,6,No,296
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,25,33,28,6,No,319
TOYOTA RAV4,2.5,4,SemiAuto-8,4WD,Gasoline,small SUV,6,27,33,29,6,No,301
TOYOTA Sequoia,3.4,6,SemiAuto-10,2WD,Gasoline,standard SUV,5,21,24,22,5,No,395
TOYOTA Sequoia,3.4,6,SemiAuto-10,4WD,Gasoline,standard SUV,5,19,22,20,4,No,437
TOYOTA Sienna,2.5,4,SCV-6,2WD,Gasoline,minivan,7,36,36,36,7,Yes,246
TOYOTA Sienna,2.5,4,SCV-6,4WD,Gasoline,minivan,7,35,36,35,7,Yes,253
TOYOTA Supra 2.0,2,4,SemiAuto-8,2WD,Gasoline,small car,7,25,31,27,5,No,322
TOYOTA Tacoma,2.7,4,SemiAuto-6,2WD,Gasoline,pickup,5,20,23,21,4,No,423
TOYOTA Tacoma,2.7,4,SemiAuto-6,4WD,Gasoline,pickup,5,19,22,20,4,No,441
TOYOTA Tacoma,3.5,6,Man-6,4WD,Gasoline,pickup,5,17,21,18,4,No,481
TOYOTA Tacoma,3.5,6,SemiAuto-6,2WD,Gasoline,pickup,5,19,24,21,4,No,431
TOYOTA Tacoma,3.5,6,SemiAuto-6,4WD,Gasoline,pickup,5,18,22,20,4,No,448
TOYOTA Toyota Crown,2.4,4,SCV-6,4WD,Gasoline,midsize car,7,29,32,30,6,No,293
TOYOTA Toyota Crown,2.5,4,CVT,4WD,Gasoline,midsize car,7,42,41,41,8,Yes,214
TOYOTA Tundra,3.4,6,SemiAuto-10,2WD,Gasoline,pickup,5,20,24,22,5,No,408
TOYOTA Tundra,3.4,6,SemiAuto-10,2WD,Gasoline,pickup,5,18,23,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,2WD,Gasoline,pickup,5,18,24,20,4,No,441
TOYOTA Tundra,3.4,6,SemiAuto-10,4WD,Gasoline,pickup,5,19,22,20,4,No,437
TOYOTA Tundra,3.4,6,SemiAuto-10,4WD,Gasoline,pickup,5,17,22,19,4,No,460
TOYOTA Tundra,3.4,6,SemiAuto-10,4WD,Gasoline,pickup,5,17,23,19,4,No,459
TOYOTA Tundra PRO,3.4,6,SemiAuto-10,4WD,Gasoline,pickup,5,18,20,19,4,No,461
TOYOTA Venza,2.5,4,SCV-6,4WD,Gasoline,small SUV,7,40,37,39,7,Yes,227
VOLKSWAGEN Atlas,2,4,SemiAuto-8,2WD,Gasoline,small SUV,3,21,25,23,5,No,387
VOLKSWAGEN Atlas,3.6,6,SemiAuto-8,2WD,Gasoline,small SUV,5,18,24,20,4,No,445
VOLKSWAGEN GLI,2,4,AMS-7,2WD,Gasoline,small car,7,26,36,30,6,No,297
VOLKSWAGEN GLI,2,4,Man-6,2WD,Gasoline,small car,7,26,37,30,6,No,299
VOLKSWAGEN GTI,2,4,AMS-7,2WD,Gasoline,small car,5,24,34,28,6,No,319
VOLKSWAGEN GTI,2,4,Man-6,2WD,Gasoline,small car,5,23,32,27,5,No,330
VOLKSWAGEN Golf-R,2,4,AMS-7,4WD,Gasoline,small car,5,23,30,26,5,No,343
VOLKSWAGEN Golf-R,2,4,Man-6,4WD,Gasoline,small car,5,20,28,23,5,No,382
VOLKSWAGEN Taos 4Motion,1.5,4,AMS-7,4WD,Gasoline,small SUV,7,25,32,28,6,No,322
VOLKSWAGEN Tiguan,2,4,SemiAuto-8,2WD,Gasoline,small SUV,7,23,30,26,5,No,343
VOLVO S60 B5,2,4,SemiAuto-8,2WD,Gasoline,small car,5,26,35,30,6,No,299
VOLVO S60 B5,2,4,SemiAuto-8,4WD,Gasoline,small car,5,25,33,28,6,No,316
VOLVO S90 B6,2,4,SemiAuto-8,4WD,Gasoline,midsize car,7,23,32,26,5,No,337
VOLVO V60CC B5,2,4,SemiAuto-8,4WD,Gasoline,station wagon,5,23,30,26,5,No,339
VOLVO V90CC B6,2,4,SemiAuto-8,4WD,Gasoline,station wagon,7,22,29,25,5,No,352
VOLVO XC40 B4,2,4,SemiAuto-8,2WD,Gasoline,small SUV,5,24,32,27,5,No,330
VOLVO XC40 B5,2,4,SemiAuto-8,4WD,Gasoline,small SUV,5,23,30,26,5,No,345
VOLVO XC60 B5,2,4,SemiAuto-8,2WD,Gasoline,small SUV,5,23,30,26,5,No,342
VOLVO XC60 B5,2,4,SemiAuto-8,4WD,Gasoline,small SUV,5,23,29,25,5,No,353
VOLVO XC60 B6,2,4,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No,375
VOLVO XC90 B5,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,5,22,28,25,5,No,358
VOLVO XC90 B6,2,4,SemiAuto-8,4WD,Gasoline,standard SUV,7,20,26,22,5,No,401
