Track,AlbumName,Artist,ReleaseDate,ISRC,AllTimeRank,TrackScore,SpotifyStreams,SpotifyPlaylistCount,SpotifyPlaylistReach,SpotifyPopularity,YouTubeViews,YouTubeLikes,TikTokPosts,TikTokLikes,TikTokViews
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,"55,346",42,"16,861",13,"2,432,265,978","8,162,101",,,
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,"4,281,468,720","590,392","165,544,011",83,"833,807,130","10,093,211","2,882,064","337,322,563","3,501,177,394"
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,"1,337,619,917","228,295","64,806,723",80,"193,982,443","2,023,998","423,714","148,085,419","1,268,862,678"
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190,,2,"41,206",,"52,480,069","82,092",,,
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190,"1,655,575,417",1,3,,,,,,
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,556,275,789","210,583","95,974,138",74,"254,051,906","3,364,206","2,379,787","683,088,623","7,945,975,878"
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,,2,135,9,,,,,
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,"1,384",2,801,,"222,076","5,430","5,013,500","605,320,683","8,811,416,708"
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,"69,729,033","2,483","21,046,278",81,"111,310,770","1,724,693","56,600","61,038,623","393,973,528"
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,"1,811,990,630","173,358","67,603,671",79,"1,516,863,120","8,870,768","4,506,600","549,886,060","6,470,937,272"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,"199,929,812",4,98,,,,,,
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,"584,427,088","182,994","19,203,258",68,"1,141,904,909","8,766,235","6,129,450","856,216,952","18,216,656,774"
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,"466,887,055","53,842","103,935,623",84,"27,688,666","449,112",,,
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960"
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"891,720,245","114,560","97,542,546",82,"144,741,616","2,761,964","1,443,103","498,822,693","3,998,086,216"
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,"46,567",252,"21,930",6,"2,038,459,981","6,076,902",,,
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175,"2,996,181,078","486,278","112,416,489",82,"1,272,898,075","14,947,520","1,416,295","513,334,446","5,518,429,969"
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,"2,045,512,421",97,"488,602",,,,,,
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,"946,941,510","100,130","74,836,321",74,"776,436,101","12,951,756","4,210,895","797,017,650","11,936,401,096"
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,UKACT2330463,74,173.6,"7,909",38,"15,023",4,"1,999,374,091","5,708,577",,,
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,"1,010,494,713","127,393","18,652,312",67,"3,203,314,695","41,487,213","5,757,883","187,301,054","1,981,431,049"
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,"1,008,495,696","99,381","57,394,938",75,"878,892,413","4,425,283","796,603","127,651,887","1,669,065,906"
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,,"10,230","1,142,937",,"12,489,728","339,414","42,900,000","919,945,708","12,221,514,692"
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697"
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,"169,410,711","11,028","144,854,768",90,"19,402,457","997,411",284,,
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852"
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81,"6,473,698,897","39,632,673","6,642,975","601,244,764","7,647,479,866"
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,"1,500,499,584","359,502","125,112,486",74,"1,431,591,689","11,553,088","2,866,181","290,811,371","4,067,248,819"
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,"8,082",63,"32,758",,"2,055,940,513","4,150,967",,,
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74,"701,880,622","3,831,236","5,416","550,073","15,373,104"
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,"860,026,452","74,769","139,913,794",80,"173,044,031","1,640,319","175,536","90,924,917","1,227,837,850"
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805","94,887","74,469,479",79,"920,878,032","3,118,229","1,031,612","116,003,972","2,416,141,351"
redrum,american dream,21 Savage,1/12/2024,USSM12309164,87,164.8,"428,233,003","57,311","144,298,748",,"105,148,629","1,762,297","87,200","6,732,800","43,993,800"
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,"1,720,918,065","209,635","93,875,458",73,"1,194,846,205","13,561,925","1,912,194","733,101,955","7,860,224,413"
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,"1,514,239,759","190,692","77,283,361",77,"1,366,181,141","9,358,441","1,769,068","475,656,543","5,249,863,696"
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162,"333,202,114","108,322","41,018,697",68,"203,487,345","2,084,532","928,132","63,253,779","748,253,884"
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,563,224,246","117,005","97,456,780",80,"203,259,285","3,482,508","1,302,967","376,660,493","3,864,505,972"
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,"1,692,951,462","209,490","88,591,675",78,"1,132,539,234","8,795,731","1,212,100","196,608,777","2,054,826,154"
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161,"255,076,355","11,500","90,584,540",86,"202,206,901","2,596,912",,"57,656,713","506,476,590"
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,"275,349,653","37,806","22,826,643",70,"347,506,860","1,553,295","4,349,700","321,239,621","4,767,676,439"
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155.9,"649,404,552","27,544","47,789,063",83,"433,839,212","2,750,086",,"414,833","10,603,563"
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,"851,085,705","129,047","50,996,176",70,"211,810,152","2,461,166","3,502,547","955,272,568","8,781,020,473"
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,"1,013,350,808","108,036","86,470,319",84,"390,677,417","2,521,214","402,338","97,819,766","887,803,828"
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,"359,803,580","26,065","79,152,427",86,"369,321,334","1,839,225","720,800","74,164,945","874,056,250"
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152.8,"509,653,100","66,219","67,521,533",,"48,045,203","986,278","328,562","88,846,508","544,437,406"
Prada,Prada,cassï¿,8/11/2023,GBCEN2300147,100,152.5,"609,699,748","128,498","160,755,092",83,"47,611,547","418,343","283,600","96,934,486","1,090,501,901"
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,152.3,"5,157,486",470,"2,924,720",,"1,278,618","27,849","1,100,000","261,000","3,900,000"
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,"242,070,373","37,170","74,130,983",76,"22,907,992","261,664","2,553,106","312,997,953","3,832,221,658"
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,"478,150,858","73,306","51,842,133",78,"113,379,734","1,312,763","1,700,998","182,319,546","2,111,289,492"
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150.5,"61,382,407","7,240","1,708,319",43,"9,977,490","201,210","37,726,462","9,239,474","147,837,262"
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,"460,156,070","163,449","127,827,271",77,"8,183,226","98,257","530,103","65,920,648","1,032,799,567"
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,"251,153,869","16,811","92,985,554",76,"66,691,067","961,957","102,884","34,572,688","431,390,500"
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148.1,"205,206,688","28,064","84,737,651",84,"39,453,253","672,789",,,
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,KRA302400093,108,147.4,"32,942,304","1,262","26,204,483",74,"57,861,795","1,257,935",,,
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,"1,911,559,785","317,345","87,765,033",78,"441,257,231","4,829,633","4,930,490","561,201,008","4,574,447,121"
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145.3,"2,014,959,725","354,831","87,942,438",70,"1,003,346,208","16,856,186","1,750,366","915,814,897","9,558,947,943"
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144.6,"168,145,583","27,654","159,737,263",85,"35,008,949","717,214",,,
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,"518,988,585","73,116","58,391,498",80,"107,703,759","768,813","354,036","74,258,021","924,204,888"
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,JPU902305042,113,144,"247,399,972","22,222","13,870,528",80,"389,540,239","4,392,933",,"22,950,364","296,522,040"
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144,"5,712,985","2,311","535,908",44,"3,120,073","56,276","20,114,495","2,452,502,310","33,870,791,454"
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79,"2,763,188,773","19,410,390","2,714,134","178,829,434","1,597,453,878"
Hands,Hands,Dianï¿½,8/1/2022,GBKPL2205333,115,143.9,"126,914",8,212,1,"2,435,813,922","7,208,467",33,188,"6,415"
Saturn,Saturn - Single,SZA,2/24/2024,USRC12400216,117,142.8,"343,090,427","21,104","154,253,718",87,"38,173,339","349,660",,,
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,BXT622400190,118,142.4,,,,,"39,323,383","44,223",,,
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,"3,006,226,762","335,880","89,243,475",81,"4,495,059,988","42,240,881","5,745,117","453,132,709","5,876,458,723"
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141,"787,155,930","183,850","58,397,185",77,"357,772,653","2,590,835","931,660","95,662,104","836,550,889"
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,"532,605,345","128,534","31,725,858",81,"97,958,347","1,237,197","322,900","108,595,670","947,194,801"
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139,"292,789,738","28,591","30,905,957",72,"406,307,035","809,942","1,900,606","68,341,852","872,862,858"
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,"818,858,244","223,609","49,586,777",71,"231,229,581","2,756,840","1,610,614","624,748,318","6,890,780,336"
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137.8,"659,010,786","129,923","93,969,186",86,"125,203,447","1,990,342","22,100","13,787,343","107,398,826"
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,USUG12301493,125,137.7,"3,913,988",545,"1,054,122",40,"1,577,017,938","9,304,666",,,
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,CA5KR2465999,126,136.4,"126,247,886",5,"5,973",1,,,,,
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,"1,607,421,145","212,406","160,444,270",83,"409,785,349","3,326,477","247,865","155,593,087","1,825,552,705"
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305253,128,136.2,"438,796,949","23,959","34,805,394",78,"509,727,241","2,202,866","1,223,804","46,080,266","782,582,119"
Drained of Color,Drained of Color,Exhumed,8/30/2022,US2642250302,129,134,"158,627",635,"18,765",16,"2,156,140,830",,9,422,"4,484"
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,USQX92003025,130,133,"1,867,736,006","302,486","82,611,625",76,"747,126,783","10,795,292","2,467,227","160,756,733","1,768,836,179"
Dynamite,Dynamite,BTS,8/21/2020,QM7282022872,131,132.3,"1,872,577,908","144,619","51,186,002",74,"2,638,957,320","62,311,179","3,098,499","662,794,945","5,063,720,138"
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,GXBAV2381801,132,130.7,"8,327",3,8,,,,"4,200,000","3,646,489","73,318,253"
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82,"2,153,701,892","20,891,433","1,940,473","212,007,614","2,161,032,034"
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129.6,"230,849,195","23,091","12,233,221",64,"363,082,908","5,135,848","4,897,595","104,580,759","1,551,501,289"
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,"720,720,922","74,295","89,509,926",77,"221,078,988","2,557,839","4,687,520","1,252,326,407","15,247,253,457"
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,QZMEQ2306756,136,129.4,"1,378,494",351,"43,395",34,"1,022,331","22,739","7,702,832","90,289,248","1,272,592,848"
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,INS182401602,137,129.1,"2,827,545",62,"1,433,870",,"54,330,074","801,621",,,
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18,"113,450,524","2,108,657","394,640","152,624,014","1,448,207,880"
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,BCAEW2400001,139,128.5,"37,157,630","2,052","30,387,641",74,"63,418,833","427,441","1,600,000","853,176","8,850,449"
Back,Back,LOLA,8/3/2022,UKQNV2100272,140,128,"48,428",92,"15,747",3,"2,123,978,358","5,670,850",111,"102,828","735,317"
People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,"631,955,547","121,823","45,030,006",74,"305,998,382","2,647,341","3,168,854","243,797,561","3,233,505,931"
