Track,AlbumName,Artist,ReleaseDate,ISRC,AllTimeRank,TrackScore,SpotifyStreams,SpotifyPlaylistCount,SpotifyPlaylistReach,SpotifyPopularity,YouTubeViews,YouTubeLikes,TikTokPosts,TikTokLikes,TikTokViews
Dior,Meet The Woo,Pop Smoke,7/26/2019,USUM71914275,285,91.4,"1,070,422,470","294,539","47,391,658",72,"909,072,115","7,522,969","1,447,194","119,978,916","1,077,344,517"
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,QMDA62210237,286,91.2,"720,822,868",13,164,17,,,,,
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,GB1102400418,287,91.1,"858,979,483",1,14,,,,,,
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,QM4TW2218961,288,90.7,"839,405,565","107,431","27,444,811",75,"662,287,768","4,695,932","3,874,773","422,978,919","4,817,726,878"
SAD!,SAD!,XXXTENTACION,3/2/2018,USUG11800208,289,90.5,"2,218,531,106","263,801","60,437,070",75,"1,800,863,873","26,301,389","1,295,895","58,018,849","435,340,082"
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,QZQMB2104890,290,90.5,"598,006,591","35,842","34,735,524",80,"415,255,950","1,480,134","916,093","96,228,889","1,108,602,382"
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214884,292,90.1,"1,293,773,697","115,332","51,081,689",77,"501,908,214","2,730,759","2,482,560","549,037,519","6,046,489,956"
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,TCADP1859309,291,90.1,,273,"54,198",,"5,004,189,392","20,218,394",,,
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,11/9/2023,BRSME2301957,293,89.6,"95,536,146","8,900","9,760,374",,"143,810,663","1,507,763","1,800,000","44,077,311","711,024,077"
Slow It Down,Slow It Down,Benson Boone,3/22/2024,USWB12400913,294,89.4,"202,667,139","11,945","116,623,933",85,"25,188,125","291,189",,"349,400","3,500,000"
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,QM6P42169803,295,88.6,"1,398,634,184","177,082","44,848,091",71,"1,084,871,745","7,894,095","884,793","298,126,879","2,877,719,483"
Heathens,Heathens,Twenty One Pilots,6/16/2016,USAT21601930,296,88.6,"1,777,196,966","241,108","65,091,468",78,"2,624,180,055","21,763,865","4,715,288","113,594,559","1,024,805,500"
Whoopty,Whoopty,CJ,8/20/2020,USA2P2031043,297,88.6,"775,664,145","213,464","28,998,615",61,"810,607,861","8,889,460","2,403,279","506,491,179","4,864,435,271"
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214"
Happier,Happier - Single,Marshmello,8/16/2018,USUG11801651,299,87.9,"2,143,821,605","220,298","53,040,597",16,"1,512,765,689","18,732,541","1,228,334","96,907,387","809,336,882"
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,QZ9QQ2300781,301,87.7,"462,284,590","31,617","36,745,154",84,"110,545,167","325,395","911,100","169,601,790","1,947,539,058"
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,UKWLG2300016,300,87.7,"509,231,024","69,486","142,546,135",79,"40,223,001","328,421",,42,312
Butter,Butter,BTS,5/21/2021,QM6MZ2156864,302,87.5,"1,257,974,135","90,160","40,533,320",70,"1,175,755,478","27,744,989","2,098,050","1,059,257,365","8,120,632,702"
Cinderella,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402037,304,87.2,"124,945,674","21,581","41,881,780",,"11,346,227","139,956",,,
Calma - Remix,Calma (Remix),Pedro Capï¿,10/5/2018,USSD11800343,303,87.2,"1,153,753,974","118,846","37,335,160",67,"2,890,512,374","13,572,964","1,847,640","11,391,899","124,640,416"
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,5/6/2016,USRC11600876,305,87.1,"1,733,302,434","191,065","88,781,556",72,"2,322,229,374","9,042,088","2,563,738","26,503,434","153,590,873"
Say So,Hot Pink,Doja Cat,11/7/2019,USRC11903454,306,87,"1,199,270,601","161,574","48,493,190",69,"879,051,516","10,069,968","8,992,493","687,678,447","5,494,376,938"
Ransom,Ransom,Lil Tecca,5/22/2019,QZ85M1940160,307,86.8,"1,355,971,796","198,992","52,412,236",77,"749,040,183","8,156,272","501,905","79,556,873","532,109,309"
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,QZMEM2232831,308,86.8,"1,136,504,636","152,157","60,605,828",81,"154,143,867","2,307,573","515,601","215,294,962","1,306,972,284"
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,USWB12401947,309,86.7,"60,240,739","4,611","98,570,633",84,"3,322,959","65,840",,"107,100","843,600"
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,GBAHS1600363,310,86.6,"1,528,107,667","170,648","55,710,071",73,"3,187,869,227","16,180,445","2,416,274","61,034,077","595,697,842"
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,11/15/2023,TCJPX2396779,355,86.6,"1,627,429,837",12,163,,,,,,
Cool,JnD Mix,,5/25/2024,QZNWQ2410638,311,86.5,,,,,,,,,
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,QZPLS2305267,312,86.5,"214,598,468","66,613","6,363,839",74,"145,094,088","2,568,642","8,397","1,367,633","35,469,076"
BESO,RR,ROSALï¿½,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74,"186,060,248","1,524,559","946,380","131,649,631","1,792,090,770"
MTG QUEM Nï¿½ï¿½O QUER SO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,DJ TOPO,5/10/2024,BXIV82456543,315,86.1,"51,198,446","3,022","40,425,173",80,"14,990,394","244,589","245,300",,
Que Vuelvas,Que Vuelvas - Single,Carin Leon,12/9/2022,QZWT32210000,314,86.1,"684,853,927","42,893","25,716,699",73,"547,937,715","1,638,787","1,100,030","91,969,060","1,162,186,778"
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,6/14/2024,CBEFB2400006,316,85.9,,5,"3,277,306",,,,,,
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,USAT22219211,318,85.8,"665,519,026","152,193","67,322,941",68,"187,947,945","2,379,515","1,016,531","606,205,784","5,516,142,056"
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013632,317,85.8,"785,016,247","210,669","32,702,397",70,"654,629,596","5,578,060","1,826,673","141,952,709","976,662,212"
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,8/25/2017,USUYG1156898,319,85.6,"1,615,274,494","203,617","35,375,009",79,"515,463,883","6,471,385","59,900","19,736,442","100,843,174"
Rich Flex,Her Loss,Drake,11/4/2022,USUG12208598,320,85.5,"812,274,757","185,579","57,165,405",73,"86,053,276","651,228","317,033","223,409,952","1,834,709,832"
Standing Next to You,GOLDEN,Jung Kook,11/3/2023,USA2P2348391,321,85.5,"675,865,902","23,181","58,344,509",85,"130,563,278","4,183,405","308,567","111,187,858","628,043,802"
Congratulations,Congratulations,Post Malone,11/4/2016,USUM71614484,322,85.3,"1,984,802,459","246,374","81,736,432",75,"1,790,918,527","11,063,672","955,053","99,916,455","811,673,866"
Do It To It,Do It To It,ACRAZE,8/20/2021,QZFPL2100100,324,85.2,"805,019,111","238,887","94,531,613",73,"117,678,524","1,540,284","2,600,179","673,283,810","10,369,065,597"
Tusa,Tusa,KAROL G,11/7/2019,USUM71921183,323,85.2,"1,497,511,486","157,185","59,187,880",68,"1,816,772,749","12,498,062","1,636,079","39,086,388","414,336,041"
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013355,325,84.8,"1,119,350,842","272,485","46,626,350",71,"767,399,825","6,283,245","1,312,576","203,661,245","1,505,078,331"
Good Good,Good Good,USHER,8/4/2023,QZS7J2331813,326,84.7,"53,825,007","14,742","9,204,769",59,"83,224,436","607,267","88,131","6,358,930","89,022,964"
Austin,Austin - Single,Dasha,11/17/2023,QZTB92360479,327,84.6,"273,023,490","17,900","169,190,514",87,"28,916,868","303,426","744,600","187,163,600","2,850,135,008"
Search & Rescue,Search & Rescue,Drake,4/7/2023,USUG12301601,329,84.6,"337,858,357","96,709","21,646,810",69,"40,938,953","336,819","106,645","21,329,637","192,701,225"
TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74,"253,468,644","1,103,093","1,096,644","84,875,226","1,391,833,232"
Shivers,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100671,330,84.4,"1,568,058,093","188,855","77,441,110",77,"683,237,554","4,641,763","389,848","88,427,778","1,292,107,474"
Coup du marteau,Coup du marteau,Tam Sir,12/8/2023,DGA0Q2357844,331,84.3,"24,933,240","4,241","2,378,348",,"79,219,504","463,646","1,800,000","44,679,343","687,729,852"
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,USA2P2036916,332,84.1,"90,383,224","24,868","4,716,437",45,"29,836,991","627,377","16,892,400","462,872,272","4,082,175,492"
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,SGB502213458,333,84,"18,296,870","1,967","400,655",,"108,892,433","699,306","9,893,499","340,731,924","6,334,463,728"
Sunroof,Sunroof,Nicky Youre,12/3/2021,USQX92202129,334,83.8,"890,752,779","104,690","38,444,734",79,"169,046,580","1,678,946",621,"47,472","5,807,175"
Watching Yourself Being Born,Neuroscape,Blush Response,4/4/2023,QZFZ72309552,335,83.7,,13,191,,"918,283,411","1,480,549",,,
Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72,"314,467,618","1,775,081","782,114","148,537,760","1,715,842,070"
Taste (feat. Offset),Taste (feat. Offset),Tyga,5/16/2018,USUYG1198481,338,83.1,"1,358,105,253","217,189","31,143,734",69,"1,875,005,008","10,236,903","3,833,884","145,706,030","1,981,780,200"
MAMIII,MAMIII,Becky G,2/10/2022,USRC12200425,337,83.1,"911,797,058","80,109","53,928,265",74,"628,307,968","4,924,401","1,741,513","267,846,050","3,410,691,967"
Until I Found You,Until I Found You,Stephen Sanchez,9/1/2021,USUG12103651,339,83,"1,020,452,066","169,696","52,678,003",73,"385,820,349","4,710,732","796,783","391,999,548","3,320,885,451"
exes,exes,Tate McRae,11/17/2023,USRC12302756,340,83,"323,100,055","27,272","33,467,589",,"33,501,338","405,965","319,600","56,188,128","730,969,180"
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,8/16/2019,QMRSZ1901446,341,82.7,"27,747,363","9,067","1,365,840",41,"136,028,794","1,352,520","23,206,073","803,136,063","11,797,196,743"
Stick Season,Stick Season,Noah Kahan,7/8/2022,USUM72212470,342,82.6,"965,865,213","113,676","169,323,128",86,"89,431,811","659,870","82,855","29,406,696","275,016,537"
Need To Know,Need To Know,Doja Cat,6/11/2021,USRC12101120,344,82.5,"1,178,076,856","164,743","42,269,625",71,"507,790,705","6,169,368","734,932","365,523,934","2,422,643,413"
kompa pasiï¿½,kompa pasiï¿½,ýýýýýýýýýý,4/12/2024,USUS12400227,345,82.5,"29,458,027","2,602","6,588,032",78,"8,529,869","225,779","439,200","8,820,761","87,680,200"
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,10/20/2022,MXF012200200,343,82.5,"394,381,902","22,919","12,262,540",73,"805,683,907","2,076,505","998,663","48,461,089","847,830,213"
Last Last,Last Last,Burna Boy,5/12/2022,USAT22204901,346,82.4,"410,722,289","130,203","16,877,163",68,"332,556,651","1,906,835","260,214","93,902,403","1,049,244,970"
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,1/29/2023,SGB502314277,347,82.2,"8,034,198",756,"174,523",,"32,806,412","130,043","6,698,664","76,927,003","1,953,589,891"
500lbs,500lbs,Lil Tecca,7/21/2023,USUM72309854,349,82.1,"350,584,176","79,228","26,972,646",68,"32,342,535","452,857",638,"1,056,379","11,627,298"
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,9/3/2021,USUG12104409,348,82.1,"732,652,170","217,189","35,225,322",72,"247,680,355","2,184,804","264,300","95,344,150","711,702,658"
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,SGB502248062,350,82,"359,416,593","91,114","29,730,236",64,"116,400,996","2,127,918","4,530,098","885,538,360","10,488,403,602"
ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,4/12/2023,JPP302300157,351,81.8,"356,559,943","47,785","12,078,942",69,"490,408,465","4,295,510","504,800","162,429,655","1,871,819,472"
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401990,352,81.6,"84,575,291","5,186","51,449,432",85,"11,080,040","346,121",137,,
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300821,353,81.5,"406,319,778","42,283","16,439,412",80,"84,066,193","368,256","117,408","7,626,726","99,492,470"
Madonna,Madonna - Single,Natanael Cano,3/8/2024,QZ9QQ2400185,354,81.3,"272,838,329","7,265","54,631,978",85,"105,675,950","806,116",,"150,848","2,099,500"
deja vu,deja vu,Olivia Rodrigo,4/1/2021,USUG12101240,355,81.3,"1,606,975,517","172,376","64,346,126",80,"638,102,695","7,847,239","1,210,842","534,102,475","3,758,269,019"
6. A.M.,Motion is Emotion,Azul,10/7/2022,ES40B2200055,356,81.1,"1,186",5,30,,"1,231,300,374","3,158,558",,,
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2/15/2024,USUG12400966,357,81,"162,165,853","10,306","87,901,542",85,"93,106,341","1,394,962",,,
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,5/8/2023,SGB502370315,358,80.8,"148,630,357","22,962","19,586,200",33,"61,652,249","723,007","3,757,654","145,382,546","2,299,851,479"
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401993,359,80.8,"100,838,516","5,188","50,795,354",87,"6,390,843","134,606",253,,
Doja,Doja,Central Cee,7/21/2022,ZZOPM2237319,360,80.5,"676,519,766","192,241","57,503,569",74,"201,326,163","3,061,387","492,679","411,670,410","3,919,404,141"
Kill This Love,Kill This Love,BLACKPINK,4/4/2019,KRA401900005,361,80.4,"820,840,650","63,934","18,843,601",67,"2,920,436,498","40,314,889","1,738,066","182,304,244","1,616,215,054"
Lan,Lan - Single,Zeynep Bastï¿½,3/8/2024,TRAUR2400004,362,80.3,"81,246,715","4,073","6,852,706",72,"146,249,969","590,112",,,
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,4/5/2024,USUG12401967,363,80.2,"176,290,078","13,470","157,502,211",87,"6,018,651","140,562","61,889","45,660,069","263,955,300"
Sweet but Psycho,Sweet but Psycho,Ava Max,8/17/2018,USAT21802011,365,80.1,"1,668,741,024","174,052","42,966,784",76,"1,254,501,233","9,554,049","5,371,543","206,785,018","2,733,847,243"
Hey Mor,Hey Mor,Ozuna,10/6/2022,QMDA62203322,364,80.1,"986,132,265","97,956","68,983,561",76,"383,748,675","1,303,919","793,798","154,969,251","2,145,975,300"
Ferrari,Ferrari,James Hype,3/15/2022,GB3CE2200004,366,80.1,"626,010,147","185,422","78,359,363",74,"202,193,289","1,277,287","88,909","20,233,025","368,044,894"
Falling,Falling,Trevor Daniel,10/5/2018,USUYG1221109,367,80,"1,606,023,895","225,643","32,822,629",71,"1,151,842,584","15,653,870","6,047,796","914,937,622","8,742,744,684"
positions,positions,Ariana Grande,10/23/2020,USUM72019412,368,80,"1,432,830,108","139,215","53,934,095",74,"778,340,255","10,401,273","1,268,910","254,276,140","1,984,520,688"
Where Are You Now,Where Are You Now,Lost Frequencies,7/30/2021,BEHP42100067,370,79.9,"1,223,329,465","211,823","114,773,091",74,"214,359,669","1,467,163","308,286","25,459,624","413,908,070"
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402905,369,79.9,"302,177,116",34,"224,573",,,,,,
Save Your Tears,After Hours,The Weeknd,3/20/2020,USUG12000658,371,79.9,"1,995,511,952","304,456","63,126,296",80,"365,257,705","2,699,016","415,050","137,726,738","1,154,403,769"
Happier Than Ever,Happier Than Ever,Billie Eilish,7/30/2021,USUM72105936,372,79.9,"1,321,878,145","189,487","51,228,803",78,"530,778,926","8,470,860","570,442","358,879,639","2,295,813,182"
This Is What You Came For,This Is What You Came For,Calvin Harris,4/29/2016,GBARL1600460,373,79.8,"1,746,790,923","204,049","117,171,040",79,"3,084,719,501","13,411,706","2,176,881","17,649,503","137,718,139"
China,China,Anuel AA,7/19/2019,QM6P41952433,376,79.5,"1,178,076,574","137,559","58,323,638",68,"2,324,673,715","9,851,235","386,741","15,484,682","146,747,450"
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,1/1/2013,USWD11366376,374,79.5,"759,374,819","64,239","27,371,339",69,"4,168,791,151","11,589,558","837,092","81,957,005","966,469,545"
Moonlight,?,XXXTENTACION,3/16/2018,USUG11800209,375,79.5,"1,885,431,727","241,112","41,330,643",77,"1,607,650,475","24,201,486","275,009","36,219,008","300,772,720"
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404993,377,79.4,"250,080,413","2,711","4,839,848",,,,,,
Smart,EASY,LE SSERAFIM,2/19/2024,USA2P2402103,379,79.3,"159,256,689","6,829","20,291,074",74,"130,698,280","1,872,592","170,200","234,770,546","2,059,824,051"
That's What I Like,24K Magic,Bruno Mars,11/17/2016,USAT21602948,378,79.3,"2,075,459,887","209,632","84,707,015",80,"2,696,139,998","17,077,084","604,526","100,008,149","704,916,578"
Commando,Commando - Single,Mavokali,9/28/2022,QZTVM2210964,380,78.6,"21,667,023","9,105","1,266,295",,"48,246,851","435,329","7,444,200","251,304,348","5,361,829,317"
The Business,The Business,Tiï¿½ï¿,9/16/2020,CYA112000624,381,78.3,"1,191,635,193","255,697","78,272,032",70,"539,885,283","4,027,102","777,092","73,955,191","1,435,552,956"
Ride It,Ride It,Regard,7/26/2019,GBCEN1900047,382,78.2,"1,349,427,877","220,002","106,549,747",76,"564,022,753","3,884,141","3,646,762","362,781,709","5,118,900,832"
Mwaki,SURRENDER,Zerb,9/27/2023,NLRD52339318,383,77.9,"121,234,000","36,468","76,765,385",42,"78,160,610","806,269","118,600","20,204,903","395,342,206"
BICHOTA,BICHOTA,KAROL G,10/23/2020,USUM72019324,385,77.8,"868,091,483","86,379","31,261,057",64,"1,591,945,481","7,916,193","1,586,770","101,362,709","1,153,849,236"
Renklensin,Renklensin - Single,Reynmen,4/19/2024,FRX282477628,384,77.8,"54,940,563","2,630","6,589,111",75,"77,507,185","547,375",,,
Bad idea,Missing,Kurochuu,6/9/2024,CA5KR2466578,387,77.6,"86,203,995",2,"2,190",1,,,,,
writhe,writhe,daine,2/21/2023,AUWA02201495,386,77.6,,163,"6,893",15,"915,870,602","2,980,959",12,"8,960","91,112"
The Hills,The Hills,The Weeknd,5/27/2015,USUG11500737,388,77.5,"2,306,740,926","333,310","91,689,799",80,"2,404,495,013","15,819,333","1,064,662","140,355,034","1,174,129,136"
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330092,389,77.4,"1,673,557,134","15,863","14,237,841",72,,,"1,500,000","104,700,560","1,092,175,292"
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401995,390,77.3,"77,212,437","4,083","13,850,203",84,"7,658,766","246,884",472,"301,528","1,423,956"
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,6/6/2024,QZQAY2414774,391,77.2,,,,,,,,,
Te Felicito,Te Felicito,Shakira,4/21/2022,USQX92201764,392,77,"719,593,291","74,269","37,254,627",67,"719,244,041","4,424,400","826,261","159,735,614","2,594,106,000"
Que Onda,Que Onda - Single,Calle 24,8/30/2023,USDXS2303230,393,76.9,"642,548,537","36,781","21,579,429",81,"227,994,801","335,112","205,583","41,258,724","499,670,882"
Stumblin' In,Stumblin' In,CYRIL,11/10/2023,NLZ542301810,394,76.9,"180,784,576","22,208","150,873,146",83,"29,260,192","247,757","91,700","2,012,224","61,731,912"
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1543926,395,76.8,"311,928,522","1,668","4,447,700",23,,,,,
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,9/22/2022,USSM12208809,396,76.6,"428,164,381","80,340","18,339,674",68,"138,760,138","1,465,825","61,144","40,889,470","419,346,148"
Desesperados,VICE VERSA,Rauw Alejandro,12/10/2021,USSD12100779,397,76.6,"1,021,480,638","119,558","50,631,491",78,"722,946,861","3,591,807","793,105","186,008,455","2,153,526,389"
"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,1/10/2024,UYB282401001,398,76.6,"224,033,701","20,266","25,455,662",,"138,348,246","2,036,793",,"1,407,028","22,394,778"
Sugar,V (Deluxe),Maroon 5,8/29/2014,USUM71410340,399,76.6,"1,838,092,894","186,038","69,903,249",75,"4,151,880,976","16,983,201","234,084","29,492,228","406,531,709"
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,3/18/2024,QZLL92480334,454,76.5,"564,444,844",5,20,,,,,,
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,1/12/2024,USUM72315072,400,76.3,"263,568,994","17,285","38,697,311",,"113,081,188","1,249,785",,"1,411,800","11,612,300"
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]","Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,1/14/2023,INY092300003,402,76.2,"1,993,244",245,"79,264",28,"944,088,313","6,351,302",,,
Old Town Road - Remix,Old Town Road,Lil Nas X,4/5/2019,USSM11902498,404,76.2,"1,527,106,099","186,252","34,012,219",68,"11,512",171,"4,203,166","55,379,491","478,304,071"
Let Me Love You,Encore,DJ Snake,8/5/2016,QMZSY1600015,403,76.2,"2,147,028,486","205,482","89,333,146",80,"2,457,588,032","18,290,642","4,116,973","49,564,235","528,988,791"
Envolver,Envolver - Single,Anitta,11/11/2021,USWL12100576,401,76.2,"635,241,142","77,669","44,546,385",65,"836,072,339","4,909,216","2,101,465","699,278,513","9,427,647,770"
Oublie-moi,Oublie-moi,Emkal,9/16/2022,FRDDV2200780,405,76,"17,992,999","11,288","327,900",42,"58,383,075","502,081","7,146,060","118,925,740","2,858,109,417"
Malohat,Malohat,Xamdam Sobirov,4/20/2024,RUA1D2459522,406,75.9,"75,486",13,"3,242",,"95,889,492","442,331",,,
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,USA2P2415975,407,75.7,"35,244,286","1,629","14,912,783",75,"70,452,629","1,873,655",,"18,636,812","90,497,430"
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,6/22/2023,QM7282306253,408,75.6,"253,464,894","22,779","10,733,622",76,"191,499,043","634,671","1,755,500","61,572,969","708,437,568"
you broke me first,you broke me first,Tate McRae,4/17/2020,USRC12000832,409,75.6,"1,439,465,700","169,076","47,204,234",77,"706,284,693","7,820,244","880,567","188,771,287","1,383,885,042"
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,6/16/2017,USAT21701747,410,75.5,"458,957,128","89,812","13,215,590",61,"47,166,510","482,132","28,665,700","112,444,345","1,069,735,982"
Beggin',Chosen,Mï¿½ï¿½ne,12/8/2017,ITB001700846,413,75.4,"1,601,293,263","358,760","75,186,063",79,"424,132,504","4,191,200","7,717,647","1,765,938,944","18,153,723,096"
Faint,Papercuts,Linkin Park,4/12/2024,USWB12401896,412,75.4,"670,009,914",3,81,,,,,,
Pretty - Sped Up,Pretty,MEYY,6/7/2023,FRD9M2300690,411,75.4,"1,867,282",498,"521,031",40,"485,422","12,137","4,300,000","99,212,673","1,267,424,672"
Hawï¿½,Hawï¿½,Maluma,7/29/2020,USSD12000190,415,75.3,"1,289,186,767","123,303","48,973,048",73,"1,464,055,196","7,754,280","729,784","9,309,533","131,926,571"
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,USWL12302952,416,75.3,"367,399,860","29,235","106,808,249",82,"104,584,293","726,526",,"1,146","14,800"
act ii: date @ 8,act ii: date @ 8,4batz,12/7/2023,QZS7J2359132,414,75.3,"153,364,964","29,300","15,208,678",,"32,239,845","576,013","534,000","88,331,091","749,015,170"
Cradles,Cradles,Sub Urban,1/4/2019,GB2LD1800949,418,75.2,"737,097,685","155,765","20,317,539",68,"1,098,942,075","19,179,674","6,010,728","735,932,695","8,841,517,566"
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/2019,RUB 421901499.00,417,75.2,"1,927,961,994","323,997","86,092,004",72,"320,969,468","3,572,454","399,114","47,716,560","525,749,281"
Angel Numbers / Ten Toes,11:11,Chris Brown,11/10/2023,USRC12302900,419,75.1,"179,565,178","40,225","15,526,253",75,"41,976,731","479,163","273,400","36,593,416","451,763,725"
Never Lose Me,Never Lose Me - Single,Flo Milli,11/30/2023,USRC12303379,420,75.1,"278,132,516","23,580","70,573,006",,"11,587,186","210,504","1,200,000","201,891,712","1,434,396,157"
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,BK4DA2319233,421,75.1,"224,429,894","17,159","11,316,048",,"250,897,173","2,121,068","545,900","64,561,650","456,323,777"
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,3/8/2024,QZES82406061,422,74.9,"32,435,333","2,141","18,509,359",76,"57,665,106","1,285,063","550,000","83,742,600","1,059,880,600"
Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,USRC11902743,423,74.9,"1,249,760,413","202,465","56,664,631",79,"699,931,779","6,139,127","1,107,358","252,070,540","2,436,202,278"
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,USAT22007153,424,74.8,"568,230,113","142,225","16,247,309",68,"531,872,316","9,887,683","8,041,280","1,122,403,923","11,938,256,726"
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402913,425,74.7,"212,272,036",13,"76,963",,,,,,
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,11/27/2023,KRA402300048,426,74.5,"121,497,542","6,748","14,377,499",80,"307,571,207","3,994,160",,"16,093,695","136,260,517"
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,5/23/2024,QM6N22466972,427,74.5,"45,287,928","2,099","98,932,469",81,"17,850,177","358,428",,,
